Unnamed: 0,DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,DATE,UNIX_TIME,ANGLE,ANGLE_FULL
0,15-05-2020 0:00,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589481000,0.016565234,0.016565234
21,15-05-2020 0:15,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589481900,0.022982643,0.022982643
42,15-05-2020 0:30,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589482800,0.031684189,0.031684189
63,15-05-2020 0:45,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589483700,0.043403567,0.043403567
84,15-05-2020 1:00,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589484600,0.059081085,0.059081085
106,15-05-2020 1:15,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589485500,0.081056667,0.081056667
127,15-05-2020 1:30,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589486400,0.108908251,0.108908251
148,15-05-2020 1:45,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589487300,0.145402888,0.145402888
170,15-05-2020 2:00,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589488200,0.195479856,0.195479856
191,15-05-2020 2:15,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589489100,0.257610324,0.257610324
212,15-05-2020 2:30,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589490000,0.337337581,0.337337581
233,15-05-2020 2:45,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589490900,0.438941253,0.438941253
254,15-05-2020 3:00,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589491800,0.567529292,0.567529292
275,15-05-2020 3:15,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589492700,0.729139078,0.729139078
296,15-05-2020 3:30,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589493600,0.930834944,0.930834944
317,15-05-2020 3:45,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589494500,1.180796867,1.180796867
338,15-05-2020 4:00,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589495400,1.488394019,1.488394019
359,15-05-2020 4:15,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589496300,1.864235828,1.864235828
381,15-05-2020 4:30,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589497200,2.344121229,2.344121229
403,15-05-2020 4:45,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589498100,2.927051751,2.927051751
425,15-05-2020 5:00,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589499000,3.629542188,3.629542188
447,15-05-2020 5:15,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589499900,4.469350471,4.469350471
468,15-05-2020 5:30,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589500800,5.416300148,5.416300148
489,15-05-2020 5:45,4135001,1BY6WEcLGh8j5v7,0,0,0,6259559,15-05-2020,1589501700,6.522307113,6.522307113
510,15-05-2020 6:00,4135001,1BY6WEcLGh8j5v7,37.14285714,3.585714286,0,6259559,15-05-2020,1589502600,7.804408191,7.804408191
531,15-05-2020 6:15,4135001,1BY6WEcLGh8j5v7,278,26.8625,2.625,6259561.625,15-05-2020,1589503500,9.279379103,9.279379103
552,15-05-2020 6:30,4135001,1BY6WEcLGh8j5v7,626.5714286,60.68571429,13.28571429,6259572.286,15-05-2020,1589504400,10.9632185,10.9632185
574,15-05-2020 6:45,4135001,1BY6WEcLGh8j5v7,1224.75,119.275,34.875,6259593.875,15-05-2020,1589505300,12.96718499,12.96718499
596,15-05-2020 7:00,4135001,1BY6WEcLGh8j5v7,1734.571429,170.0142857,72.71428571,6259631.714,15-05-2020,1589506200,15.23086112,15.23086112
618,15-05-2020 7:15,4135001,1BY6WEcLGh8j5v7,1856.375,181.9375,116.25,6259675.25,15-05-2020,1589507100,17.76537277,17.76537277
640,15-05-2020 7:30,4135001,1BY6WEcLGh8j5v7,1842.285714,180.5857143,162.4285714,6259721.429,15-05-2020,1589508000,20.57762775,20.57762775
662,15-05-2020 7:45,4135001,1BY6WEcLGh8j5v7,1877.875,184.0625,206.375,6259765.375,15-05-2020,1589508900,23.66940842,23.66940842
684,15-05-2020 8:00,4135001,1BY6WEcLGh8j5v7,3246,318.6714286,263.5714286,6259822.571,15-05-2020,1589509800,27.03650909,27.03650909
706,15-05-2020 8:15,4135001,1BY6WEcLGh8j5v7,3917.5,384.8375,359.875,6259918.875,15-05-2020,1589510700,30.66796384,30.66796384
728,15-05-2020 8:30,4135001,1BY6WEcLGh8j5v7,4322,424.1285714,464,6260023,15-05-2020,1589511600,34.54541264,34.54541264
